transaction_id,account_id,txn_date,txn_type,amount,channel,created_at
TXN00040001,ACC002144,2026-07-21 15:54:00.475449,UPI_TRANSFER,51431.5,BRANCH,2026-07-21 15:54:00.475449
TXN00040002,ACC002244,2026-07-29 16:09:57.381982,DEPOSIT,37225.41,BRANCH,2026-07-29 16:09:57.381982
TXN00040003,ACC000126,2026-07-26 17:41:21.458893,INTEREST_CREDIT,51108.16,ATM,2026-07-26 17:41:21.458893
TXN00040004,ACC000392,2026-08-02 04:52:45.732495,UPI_TRANSFER,71860.56,BRANCH,2026-08-02 04:52:45.732495
TXN00040005,ACC002946,2026-07-26 15:50:35.246304,FEE_DEBIT,23111.01,BRANCH,2026-07-26 15:50:35.246304
TXN00040006,ACC000630,2026-08-10 12:22:11.270221,INTEREST_CREDIT,2841.31,MOBILE_APP,2026-08-10 12:22:11.270221
TXN00040007,ACC002498,2026-08-14 07:11:39.568861,DEPOSIT,59890.07,BRANCH,2026-08-14 07:11:39.568861
TXN00040008,ACC002174,2026-08-15 16:47:49.222375,WITHDRAWAL,71802.93,ONLINE,2026-08-15 16:47:49.222375
TXN00040009,ACC002973,2026-07-24 17:17:32.454126,DEPOSIT,46294.09,ATM,2026-07-24 17:17:32.454126
TXN00040010,ACC000435,2026-07-24 08:38:17.032468,INTEREST_CREDIT,58326.58,MOBILE_APP,2026-07-24 08:38:17.032468
TXN00040011,ACC000263,2026-08-17 15:27:18.374563,DEPOSIT,51463.41,ONLINE,2026-08-17 15:27:18.374563
TXN00040012,ACC000829,2026-07-20 15:08:22.226759,WITHDRAWAL,51773.05,MOBILE_APP,2026-07-20 15:08:22.226759
TXN00040013,ACC001945,2026-07-28 17:34:55.128577,WITHDRAWAL,12720.82,BRANCH,2026-07-28 17:34:55.128577
TXN00040014,ACC001055,2026-08-14 18:36:51.366638,DEPOSIT,52284.84,MOBILE_APP,2026-08-14 18:36:51.366638
TXN00040015,ACC000077,2026-08-07 12:06:42.847451,WITHDRAWAL,67305.16,UPI,2026-08-07 12:06:42.847451
TXN00040016,ACC002573,2026-08-05 20:18:39.468368,WITHDRAWAL,62426.93,MOBILE_APP,2026-08-05 20:18:39.468368
TXN00040017,ACC002981,2026-07-26 09:01:32.183774,UPI_TRANSFER,50614.13,BRANCH,2026-07-26 09:01:32.183774
TXN00040018,ACC002215,2026-07-26 13:26:34.760994,DEPOSIT,22350.04,UPI,2026-07-26 13:26:34.760994
TXN00040019,ACC000354,2026-08-14 17:16:04.464070,DEPOSIT,36922.23,ATM,2026-08-14 17:16:04.464070
TXN00040020,ACC000410,2026-07-25 16:43:00.651667,WITHDRAWAL,30732.45,BRANCH,2026-07-25 16:43:00.651667
TXN00040021,ACC001267,2026-08-17 07:21:41.410793,INTEREST_CREDIT,10821.87,MOBILE_APP,2026-08-17 07:21:41.410793
TXN00040022,ACC002196,2026-08-03 12:55:23.668904,WITHDRAWAL,27799.5,BRANCH,2026-08-03 12:55:23.668904
TXN00040023,ACC000270,2026-08-19 04:30:24.052838,UPI_TRANSFER,46493.46,ATM,2026-08-19 04:30:24.052838
TXN00040024,ACC002086,2026-08-03 23:39:43.025083,WITHDRAWAL,48727.9,ATM,2026-08-03 23:39:43.025083
TXN00040025,ACC000148,2026-08-09 02:26:16.358682,UPI_TRANSFER,66801.01,BRANCH,2026-08-09 02:26:16.358682
TXN00040026,ACC001813,2026-08-01 02:29:16.463539,WITHDRAWAL,36024.06,ATM,2026-08-01 02:29:16.463539
TXN00040027,ACC001619,2026-08-03 17:14:40.281577,WITHDRAWAL,55913.41,UPI,2026-08-03 17:14:40.281577
TXN00040028,ACC001790,2026-07-29 11:44:14.078903,DEPOSIT,19130.03,ATM,2026-07-29 11:44:14.078903
TXN00040029,ACC000295,2026-08-19 10:16:28.344717,DEPOSIT,3997.63,ATM,2026-08-19 10:16:28.344717
